Case_ID,Total_TL,Tot_Closed_TL,Tot_Active_TL,Total_TL_opened_L6M,Tot_TL_closed_L6M,pct_tl_open_L6M,pct_tl_closed_L6M,pct_active_tl,pct_closed_tl,Total_TL_opened_L12M,Tot_TL_closed_L12M,pct_tl_open_L12M,pct_tl_closed_L12M,Tot_Missed_Pmnt,Auto_TL,CC_TL,Consumer_TL,Gold_TL,Home_TL,PL_TL,Secured_TL,Unsecured_TL,Other_TL,Age_Oldest_TL,Age_Newest_TL
110,2,1,1,0,1,0.0,0.5,0.5,0.5,1,1,0.5,0.5,0,1,1,0,0,0,0,1,1,0,29,10
111,4,2,2,2,0,0.5,0.0,0.5,0.5,2,0,0.5,0.0,0,2,0,2,0,0,0,2,2,0,67,2
112,5,4,1,0,1,0.0,0.2,0.2,0.8,1,1,0.2,0.2,0,0,0,5,0,0,0,0,5,0,45,7
113,13,11,2,0,0,0.0,0.0,0.154,0.846,0,0,0.0,0.0,0,4,2,1,0,5,0,9,4,1,250,32
114,13,7,6,4,2,0.308,0.154,0.462,0.538,6,3,0.462,0.231,5,1,0,0,9,0,1,11,2,2,43,1
115,2,1,1,0,0,0.0,0.0,0.5,0.5,1,0,0.5,0.0,0,1,0,0,0,0,0,2,0,1,45,11
116,24,10,14,3,1,0.125,0.042,0.583,0.417,6,2,0.25,0.083,4,0,0,0,16,0,0,21,3,8,51,1
117,18,10,8,8,4,0.444,0.222,0.444,0.556,11,5,0.611,0.278,4,0,0,4,2,0,0,9,9,12,83,2
118,3,1,2,0,0,0.0,0.0,0.667,0.333,1,0,0.333,0.0,0,0,1,1,0,0,1,0,3,0,237,8
119,2,1,1,0,0,0.0,0.0,0.5,0.5,0,0,0.0,0.0,0,0,0,0,0,0,0,2,0,2,104,29
120,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,1,0,0,0,0,0,1,0,0,7,7
121,43,23,20,8,6,0.186,0.14,0.465,0.535,16,10,0.372,0.233,2,6,3,27,0,0,4,7,36,3,166,3
122,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,1,0,1,0,0,48,48
123,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,1,0,0,0,0,0,1,0,0,12,12
124,2,0,2,0,0,0.0,0.0,1.0,0.0,2,0,1.0,0.0,1,0,0,0,0,0,0,2,0,2,9,9
125,7,2,5,3,2,0.429,0.286,0.714,0.286,5,2,0.714,0.286,0,0,0,6,0,0,0,0,7,1,15,4
126,1,0,1,1,0,1.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,1,0,0,0,0,1,0,5,5
127,2,2,0,0,0,0.0,0.0,0.0,1.0,0,1,0.0,0.5,0,1,0,0,0,0,0,2,0,1,68,22
128,5,4,1,1,0,0.2,0.0,0.2,0.8,1,0,0.2,0.0,0,1,0,0,2,0,0,5,0,2,132,6
129,4,1,3,3,1,0.75,0.25,0.75,0.25,3,1,0.75,0.25,1,0,1,1,0,0,2,0,4,0,13,3
130,4,2,2,1,1,0.25,0.25,0.5,0.5,1,1,0.25,0.25,0,1,0,3,0,0,0,1,3,0,28,5
131,5,2,3,0,1,0.0,0.2,0.6,0.4,0,1,0.0,0.2,0,0,4,1,0,0,0,0,5,0,141,14
132,1,0,1,1,0,1.0,0.0,1.0,0.0,1,0,1.0,0.0,1,1,0,0,0,0,0,1,0,0,4,4
133,2,1,1,0,0,0.0,0.0,0.5,0.5,0,1,0.0,0.5,0,2,0,0,0,0,0,2,0,0,39,16
134,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,20,20
135,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,1,0,0,0,0,0,1,0,8,8
136,10,6,4,1,0,0.1,0.0,0.4,0.6,4,2,0.4,0.2,3,0,0,0,4,0,0,8,2,6,40,4
137,29,20,9,2,3,0.069,0.103,0.31,0.69,4,6,0.138,0.207,8,0,0,0,24,0,0,29,0,5,43,2
138,2,0,2,0,0,0.0,0.0,1.0,0.0,1,0,0.5,0.0,1,1,0,0,1,0,0,2,0,0,17,9
139,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,13,13
140,2,2,0,0,1,0.0,0.5,0.0,1.0,1,2,0.5,1.0,0,0,0,2,0,0,0,0,2,0,15,9
141,12,7,5,1,1,0.083,0.083,0.417,0.583,2,2,0.167,0.167,0,2,1,0,5,0,0,10,2,4,76,5
142,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,1,1,0,0,0,0,0,1,0,0,8,8
143,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,1,0,0,0,0,1,0,7,7
144,1,0,1,1,0,1.0,0.0,1.0,0.0,1,0,1.0,0.0,1,0,0,1,0,0,0,0,1,0,2,2
145,49,27,22,4,3,0.082,0.061,0.449,0.551,12,9,0.245,0.184,5,3,1,0,6,0,0,28,21,39,55,2
146,2,0,2,1,0,0.5,0.0,1.0,0.0,2,0,1.0,0.0,1,0,0,0,0,0,1,0,2,1,7,2
147,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,22,22
148,9,8,1,3,6,0.333,0.667,0.111,0.889,5,6,0.556,0.667,1,0,0,5,0,0,2,0,9,2,23,3
149,27,19,8,4,4,0.148,0.148,0.296,0.704,6,7,0.222,0.259,3,2,2,12,6,0,1,10,17,4,73,3
150,2,2,0,0,1,0.0,0.5,0.0,1.0,1,1,0.5,0.5,0,1,0,1,0,0,0,1,1,0,85,9
151,6,3,3,0,0,0.0,0.0,0.5,0.5,1,1,0.167,0.167,1,0,0,0,4,0,0,4,2,2,35,8
152,3,1,2,0,1,0.0,0.333,0.667,0.333,2,1,0.667,0.333,1,0,0,1,1,0,0,1,2,1,14,6
153,10,8,2,1,2,0.1,0.2,0.2,0.8,4,3,0.4,0.3,0,0,0,5,5,0,0,5,5,0,90,2
154,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,16,16
155,4,2,2,0,1,0.0,0.25,0.5,0.5,0,1,0.0,0.25,1,0,0,3,0,0,1,0,4,0,41,13
156,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,76,76
157,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,0,0,0,1,0,0,1,0,0,57,57
158,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,1,0,0,0,0,0,1,0,0,11,11
159,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,61,61
160,2,1,1,1,1,0.5,0.5,0.5,0.5,1,1,0.5,0.5,1,0,0,0,0,0,0,2,0,2,16,3
161,16,4,12,5,3,0.312,0.188,0.75,0.25,8,3,0.5,0.188,2,4,1,7,0,0,2,5,11,2,103,3
162,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,1,0,0,0,0,0,1,0,11,11
163,6,0,6,1,0,0.167,0.0,1.0,0.0,4,0,0.667,0.0,0,0,1,3,0,0,2,0,6,0,29,4
164,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,40,40
165,3,1,2,0,0,0.0,0.0,0.667,0.333,1,1,0.333,0.333,2,0,0,0,2,0,0,3,0,1,25,11
166,8,4,4,1,0,0.125,0.0,0.5,0.5,3,0,0.375,0.0,0,1,0,5,0,0,1,1,7,1,85,2
167,9,8,1,1,1,0.111,0.111,0.111,0.889,1,1,0.111,0.111,0,0,0,0,8,0,0,8,1,1,44,5
168,8,7,1,1,2,0.125,0.25,0.125,0.875,4,5,0.5,0.625,0,0,0,0,2,0,0,2,6,6,23,5
169,7,6,1,1,1,0.143,0.143,0.143,0.857,1,1,0.143,0.143,1,0,0,0,0,0,0,7,0,7,139,4
170,7,3,4,3,1,0.429,0.143,0.571,0.429,4,1,0.571,0.143,3,0,0,1,5,0,1,5,2,0,32,2
171,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,0,0,0,0,0,0,1,0,1,68,68
172,5,0,5,2,0,0.4,0.0,1.0,0.0,2,0,0.4,0.0,1,1,0,3,0,0,0,1,4,1,23,4
173,6,4,2,0,0,0.0,0.0,0.333,0.667,0,0,0.0,0.0,0,0,0,0,4,0,0,6,0,2,53,13
174,2,0,2,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,0,0,0,0,2,0,2,0,0,14,14
175,2,0,2,0,0,0.0,0.0,1.0,0.0,2,0,1.0,0.0,0,0,0,1,1,0,0,1,1,0,8,6
176,3,0,3,1,0,0.333,0.0,1.0,0.0,1,0,0.333,0.0,0,3,0,0,0,0,0,3,0,0,38,6
177,2,2,0,0,1,0.0,0.5,0.0,1.0,1,2,0.5,1.0,0,0,0,1,0,0,0,1,1,1,47,11
178,5,4,1,1,0,0.2,0.0,0.2,0.8,1,2,0.2,0.4,1,0,0,0,1,0,4,1,4,0,115,4
179,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,1,0,0,0,0,0,1,0,0,8,8
180,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,1,0,0,0,0,0,1,0,0,12,12
181,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,1,0,21,21
182,12,5,7,3,2,0.25,0.167,0.583,0.417,7,5,0.583,0.417,1,0,0,12,0,0,0,0,12,0,21,3
183,2,2,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,0,0,1,0,0,1,0,2,0,131,24
184,4,2,2,1,1,0.25,0.25,0.5,0.5,2,2,0.5,0.5,2,0,0,0,4,0,0,4,0,0,17,4
185,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,1,0,0,0,0,1,0,7,7
186,3,2,1,0,0,0.0,0.0,0.333,0.667,0,2,0.0,0.667,0,1,0,2,0,0,0,1,2,0,17,14
187,5,2,3,1,2,0.2,0.4,0.6,0.4,3,2,0.6,0.4,0,1,1,2,0,0,1,1,4,0,22,5
188,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,1,0,0,0,0,1,0,8,8
189,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,1,0,0,0,0,0,1,0,1,0,14,14
190,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,0,0,1,0,1,0,0,11,11
191,5,3,2,1,0,0.2,0.0,0.4,0.6,1,0,0.2,0.0,1,0,0,0,0,0,0,5,0,5,55,4
192,1,1,0,0,1,0.0,1.0,0.0,1.0,0,1,0.0,1.0,0,0,0,1,0,0,0,0,1,0,14,14
193,13,4,9,5,2,0.385,0.154,0.692,0.308,9,2,0.692,0.154,5,0,0,2,8,0,0,9,4,3,21,2
194,3,1,2,2,1,0.667,0.333,0.667,0.333,2,1,0.667,0.333,0,1,0,1,0,0,1,1,2,0,12,4
195,2,1,1,0,0,0.0,0.0,0.5,0.5,0,0,0.0,0.0,0,2,0,0,0,0,0,2,0,0,29,14
196,2,1,1,0,0,0.0,0.0,0.5,0.5,0,0,0.0,0.0,0,2,0,0,0,0,0,2,0,0,82,23
197,6,1,5,1,0,0.167,0.0,0.833,0.167,1,0,0.167,0.0,0,4,0,0,0,0,0,4,2,2,235,4
198,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,1,0,0,0,0,0,1,0,0,6,6
199,3,1,2,1,1,0.333,0.333,0.667,0.333,2,1,0.667,0.333,0,0,0,3,0,0,0,0,3,0,14,6
200,4,2,2,0,0,0.0,0.0,0.5,0.5,1,2,0.25,0.5,0,0,0,0,0,0,0,3,1,4,25,6
201,2,0,2,1,0,0.5,0.0,1.0,0.0,1,0,0.5,0.0,0,2,0,0,0,0,0,2,0,0,36,4
202,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,1,0,0,0,0,0,1,0,0,7,7
203,3,2,1,0,0,0.0,0.0,0.333,0.667,1,1,0.333,0.333,0,0,0,0,0,0,0,3,0,3,40,7
204,1,0,1,1,0,1.0,0.0,1.0,0.0,1,0,1.0,0.0,1,0,0,1,0,0,0,0,1,0,4,4
205,4,3,1,0,2,0.0,0.5,0.25,0.75,0,3,0.0,0.75,0,0,0,3,0,0,1,0,4,0,21,13
206,2,1,1,0,0,0.0,0.0,0.5,0.5,0,0,0.0,0.0,0,1,0,0,0,0,1,1,1,0,178,13
207,9,7,2,2,3,0.222,0.333,0.222,0.778,2,3,0.222,0.333,0,3,1,5,0,0,0,3,6,0,59,2
208,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,139,139
209,5,4,1,2,1,0.4,0.2,0.2,0.8,2,1,0.4,0.2,0,0,0,1,3,0,0,3,2,1,28,5
210,6,3,3,1,1,0.167,0.167,0.5,0.5,1,1,0.167,0.167,0,0,0,1,0,0,4,0,6,1,98,6
